#,person #,first name,last name,email,country,organization,Web site,role,track #,track name
1,1,Harald,Sack,mail_10,Germany,Hasso Plattner Institute (HPI),,General Chair,,
2,2,Mathieu,D'Aquin,mail_11,UK,Knowledge Media Institute KMI,,Program Chair,,
3,3,Eva,Blomqvist,mail_12,Sweden,Linköping University,,Program Chair,,
4,4,Steffen,Lohmann,mail_13,Germany,Fraunhofer IAIS,,Sponsoring Chair,,
5,5,Freddie,Lecue,mail_14,Ireland,IBM,,Sponsoring Chair,,
6,6,Dunja,Mladenic,mail_15,Slovenia,J. Stefan Institute,,Workshops Chair,,
7,7,Sören,Auer,mail_16,Germany,University of Bonn,,Workshops Chair,,
8,8,Tommaso,Di Noia,mail_17,italy,Politecnico di Bari,,Tutorials Chair,,
9,9,H. Sofia ,Pinto,mail_18,Portugal,"INESC-ID, Instituto Superior Técnico, Universidade de Lisboa",,Tutorials Chair,,
10,10,Giuseppe,Rizzo,mail_19,italy,Istituto Superiore Mario Boella,,Poster and Demo Chair,,
11,11,Nadine,Steinmetz,mail_20,Germany,Technische Universität Ilmenau,,Poster and Demo Chair,,
12,12,Simone Paolo,Ponzetto,mail_21,Germany,University of Mannheim,,PhD Symposium Chair,,
13,13,Chiara,Ghidini,mail_22,italy,Fondazione Bruno Kessler,,PhD Symposium Chair,,
14,14,Stefan,Dietze,mail_23,Germany,L3S,,Challenge Chair,,
15,15,Anna,Tordai,mail_24,Netherlands,Elsevier,,Challenge Chair,,
16,2,Andrea Giovanni,Nuzzolese,mail_2,italy,STLab ISTC-CNR,,Semantic Technologies Coordinator,NULL,NULL
17,1,Anna Lisa,Gentile,mail_1,Germany,University of Mannheim,,Semantic Technologies Coordinator,NULL,NULL
18,18,Erik,Mannens,mail_27,Belgium,"Multimedia Lab – iMinds – Ghent University,",,EU Project Networking,NULL,NULL
19,19,Mauro,Dragoni,mail_28,italy,Fondazione Bruno Kessler,,EU Project Networking,NULL,NULL
20,20,Lyndon,nixon,mail_29,Austria,Modul Universität Vienna,,EU Project Networking,NULL,NULL
21,21,Oscar,Corcho,mail_30,Spain,"Universidad Politécnica de Madrid,",,EU Project Networking,NULL,NULL
22,22,Venislav,Georgiev,mail_31,Austria,STI International,,Web Presence,NULL,NULL
23,23,Christoph,Lange,mail_32,Germany,University of Bonn,,Proceedings Chair,NULL,NULL
24,24,Heiko,Paulheim,mail_33,Germany,University of Mannheim,,Publicity Chair,NULL,NULL
25,25,Ioan,Toma,mail_34,Austria,STI International,,Treasurer,NULL,NULL
