"id","name","uri"
"1","Program Chair","http://data.semanticweb.org/ns/swc/ontology#ProgrammeChair"
"2","Publicity Chair","http://data.semanticweb.org/ns/swc/ontology#PublicityChair"
"3","Workshops Chair","http://data.semanticweb.org/ns/swc/ontology#WorkshopsChair"
"4","Workshops Chair","http://data.semanticweb.org/ns/swc/ontology#WorkshopsChair"
"5","General Chair","http://data.semanticweb.org/ns/swc/ontology#GeneralChair"
"6","Treasurer","http://data.semanticweb.org/ns/swc/ontology#Treasurer"
"7","Tutorials Chair","http://data.semanticweb.org/ns/swc/ontology#TutorialChair"
"8","EU Project Networking","http://data.semanticweb.org/ns/swc/ontology#EUProjectNetworkingChair"
"9","Sponsoring Chair","http://data.semanticweb.org/ns/swc/ontology#SponsorshipChair"
"10","Challenge Chair","http://data.semanticweb.org/ns/swc/ontology#SWChallengeChair"
"11","Proceedings Chair","http://data.semanticweb.org/ns/swc/ontology#ProceedingsChair"
"12","Poster and Demo Chair","http://data.semanticweb.org/ns/swc/ontology#PosterandDemoChair"
"13","PhD Symposium Chair","http://data.semanticweb.org/ns/swc/ontology#PhDSymposiumChair"
"14","Web Presence","http://data.semanticweb.org/ns/swc/ontology#Webmaster"
"15","Semantic Technologies Coordinator","http://data.semanticweb.org/ns/swc/ontology#MetadataChair"
